iter	Passed	Remaining
665	1729	867
666	1731	864
667	1732	861
668	1734	858
669	1735	854
670	1740	853
671	1742	850
672	1744	847
673	1746	844
674	1748	841
675	1749	838
676	1751	835
677	1755	833
678	1757	830
679	1758	827
680	1760	824
681	1761	821
682	1763	818
683	1765	815
684	1766	812
685	1770	810
686	1772	807
687	1774	804
688	1775	801
689	1777	798
690	1778	795
691	1780	792
692	1783	790
693	1785	787
694	1787	784
695	1788	781
696	1790	778
697	1792	775
698	1793	772
699	1795	769
700	1796	766
701	1800	764
702	1802	761
703	1805	759
704	1807	756
705	1809	753
706	1811	750
707	1815	748
708	1816	745
709	1818	742
710	1820	739
711	1821	736
712	1823	733
713	1825	731
714	1826	728
715	1830	726
716	1832	723
717	1834	720
718	1836	717
719	1838	714
720	1840	712
721	1841	709
722	1845	707
723	1847	704
724	1848	701
725	1850	698
726	1851	695
727	1853	692
728	1855	689
729	1856	686
730	1861	684
731	1862	682
732	1864	679
733	1865	676
734	1867	673
735	1869	670
736	1870	667
737	1872	664
738	1875	662
739	1877	659
740	1878	656
741	1880	653
742	1881	650
743	1883	648
744	1885	645
745	1886	642
746	1890	640
747	1892	637
748	1893	634
749	1895	631
750	1897	629
751	1899	626
752	1900	623
753	1902	620
754	1905	618
755	1907	615
756	1909	612
757	1910	610
758	1912	607
759	1914	604
760	1916	601
761	1917	598
762	1921	596
763	1923	594
764	1925	591
765	1927	588
766	1929	586
767	1931	583
768	1932	580
769	1936	578
770	1937	575
771	1939	572
772	1941	570
773	1942	567
774	1944	564
775	1945	561
776	1947	558
777	1950	556
778	1952	554
779	1954	551
780	1956	548
781	1957	545
782	1959	543
783	1960	540
784	1962	537
785	1965	535
786	1967	532
787	1969	529
788	1971	527
789	1973	524
790	1975	521
791	1976	519
792	1980	517
793	1982	514
794	1984	511
795	1986	509
796	1988	506
797	1989	503
798	1991	501
799	1993	498
800	1997	496
801	1999	493
802	2001	490
803	2002	488
804	2004	485
805	2006	482
806	2008	480
807	2012	478
808	2014	475
809	2015	472
810	2017	470
811	2019	467
812	2021	465
813	2023	462
814	2027	460
815	2029	457
816	2031	455
817	2033	452
818	2036	450
819	2038	447
820	2042	445
821	2044	442
822	2046	440
823	2047	437
824	2049	434
825	2051	432
826	2053	429
827	2057	427
828	2059	424
829	2061	422
830	2062	419
831	2064	416
832	2066	414
833	2068	411
834	2070	409
835	2073	406
836	2075	404
837	2076	401
838	2078	398
839	2080	396
840	2081	393
841	2084	391
842	2087	388
843	2089	386
844	2091	383
845	2092	380
846	2094	378
847	2096	375
848	2098	373
849	2100	370
850	2103	368
851	2105	365
852	2106	363
853	2108	360
854	2110	357
855	2112	355
856	2114	352
857	2117	350
858	2119	347
859	2121	345
860	2123	342
861	2125	340
862	2126	337
863	2128	335
864	2133	332
865	2135	330
866	2136	327
867	2138	325
868	2140	322
869	2142	320
870	2144	317
871	2147	315
872	2149	312
873	2151	310
874	2153	307
875	2155	305
876	2156	302
877	2158	299
878	2162	297
879	2164	295
880	2165	292
881	2167	290
882	2169	287
883	2171	284
884	2173	282
885	2175	279
886	2178	277
887	2180	274
888	2181	272
889	2183	269
890	2185	267
891	2187	264
892	2188	262
893	2192	259
894	2194	257
895	2196	254
896	2198	252
897	2202	250
898	2204	247
899	2207	245
900	2209	242
901	2210	240
902	2212	237
903	2214	235
904	2216	232
905	2217	230
906	2219	227
907	2223	225
